City,Customer ID,Customer Name,Discount,Order Date,Order ID,Postal Code,Product ID,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,Shipping Costs,State
Auburn,AM-107051408,Anne McFarland,0,9/19/14,CA-2014-AM10705140-41901,36830,OFF-ST-6289,117.0104,4,Southern US,900.08,Consumer,9/24/14,Standard Class,53.84,Alabama
Auburn,AM-107051408,Anne McFarland,0,9/19/14,CA-2014-AM10705140-41901,36830,FUR-CH-5431,84.2352,1,Southern US,350.98,Consumer,9/24/14,Standard Class,17.04,Alabama
Auburn,AM-107051408,Anne McFarland,0,9/19/14,CA-2014-AM10705140-41901,36830,OFF-PA-6086,6.0168,2,Southern US,13.08,Consumer,9/24/14,Standard Class,1.22,Alabama
Auburn,KN-167051408,Kristina Nunn,0,6/12/15,CA-2015-KN16705140-42167,36830,OFF-AR-5458,1.0904,2,Southern US,3.76,Home Office,6/16/15,Standard Class,1.45,Alabama
Auburn,MS-177101408,Maurice Satty,0,3/16/13,CA-2013-MS17710140-41349,36830,OFF-LA-3980,240.8595,5,Southern US,491.55,Consumer,3/19/13,Second Class,77.93,Alabama
Auburn,MS-177101408,Maurice Satty,0,3/16/13,CA-2013-MS17710140-41349,36830,OFF-EN-3834,3.3948,2,Southern US,7.38,Consumer,3/19/13,Second Class,1.09,Alabama
Decatur,AH-104651408,Amy Hunt,0,4/3/15,CA-2015-AH10465140-42097,35601,OFF-LA-3219,6.8724,3,Southern US,14.94,Consumer,4/7/15,Standard Class,1.54,Alabama
Decatur,CB-120251408,Cassandra Brandow,0,11/14/15,US-2015-CB12025140-42322,35601,TEC-AC-3125,23.992,8,Southern US,239.92,Consumer,11/21/15,Standard Class,31.69,Alabama
Decatur,DH-130751408,Dave Hallsten,0,6/13/13,CA-2013-DH13075140-41438,35601,TEC-CO-3590,314.9895,3,Southern US,899.97,Corporate,6/19/13,Standard Class,73.62,Alabama
Decatur,DH-130751408,Dave Hallsten,0,6/13/13,CA-2013-DH13075140-41438,35601,OFF-AR-5286,6.9384,6,Southern US,24.78,Corporate,6/19/13,Standard Class,1.74,Alabama
Decatur,DH-130751408,Dave Hallsten,0,6/13/13,CA-2013-DH13075140-41438,35601,OFF-BI-3280,8.8044,3,Southern US,19.14,Corporate,6/19/13,Standard Class,1.66,Alabama
Decatur,DH-130751408,Dave Hallsten,0,6/13/13,CA-2013-DH13075140-41438,35601,OFF-PA-6566,15.552,5,Southern US,32.4,Corporate,6/19/13,Standard Class,1.2,Alabama
